epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.584,1.08697,3.41889,1.58289,0.28499,0.48312,0.37142,0.242,1.23348,3.55712,1.85377,0.000183802,0.000183802,0.000183802
2,497.14,1.12571,2.37267,1.57141,0.57284,0.57853,0.58554,0.39814,1.13869,3.37222,1.76469,0.000365075,0.000365075,0.000365075
3,709.691,1.07549,1.98364,1.50508,0.53694,0.56885,0.56049,0.35327,1.27591,2.82238,1.88755,0.00054227,0.00054227,0.00054227
4,920.926,1.07731,1.83417,1.49621,0.68132,0.70264,0.72948,0.46935,1.26266,2.32859,1.95437,0.000537652,0.000537652,0.000537652
5,1131.93,1.04218,1.66759,1.47628,0.62162,0.60859,0.63261,0.43065,1.24577,2.42019,1.86865,0.000531536,0.000531536,0.000531536
6,1342.53,1.00002,1.52048,1.4336,0.55394,0.60813,0.61999,0.39326,1.33639,2.32217,1.89207,0.00052542,0.00052542,0.00052542
7,1556.15,0.99819,1.44113,1.43365,0.76132,0.64517,0.73171,0.45424,1.32362,1.98456,1.88752,0.000519304,0.000519304,0.000519304
8,1767.91,0.97315,1.3734,1.41865,0.74627,0.68333,0.71053,0.47399,1.22849,1.85699,1.80606,0.000513188,0.000513188,0.000513188
9,1979.63,0.95925,1.2797,1.39736,0.70964,0.73818,0.73969,0.45803,1.30599,1.79986,1.92077,0.000507072,0.000507072,0.000507072
10,2189.9,0.93945,1.22372,1.38883,0.7662,0.73643,0.78504,0.54061,1.14841,1.58865,1.77351,0.000500956,0.000500956,0.000500956
11,2403.02,0.91055,1.14222,1.35983,0.78008,0.71918,0.80145,0.55937,1.18877,1.46802,1.78375,0.00049484,0.00049484,0.00049484
12,2611.17,0.88665,1.08286,1.3437,0.87432,0.68903,0.81989,0.56593,1.18794,1.41127,1.74334,0.000488724,0.000488724,0.000488724
13,2820.44,0.89405,1.05391,1.35054,0.79723,0.79558,0.79474,0.53973,1.18584,1.48874,1.78477,0.000482608,0.000482608,0.000482608
14,3031.97,0.87765,1.0362,1.33262,0.81363,0.68702,0.77934,0.55277,1.14955,1.51305,1.76264,0.000476492,0.000476492,0.000476492
15,3244.32,0.85561,1.02178,1.3227,0.74373,0.74861,0.77044,0.54114,1.19157,1.38403,1.76133,0.000470376,0.000470376,0.000470376
16,3455.34,0.86704,0.97043,1.32982,0.79283,0.79632,0.83484,0.57509,1.12813,1.26056,1.71479,0.00046426,0.00046426,0.00046426
17,3666.23,0.83866,0.94272,1.30211,0.76432,0.75489,0.78067,0.55868,1.14216,1.39432,1.76404,0.000458144,0.000458144,0.000458144
18,3875.86,0.82543,0.92133,1.30078,0.82533,0.73858,0.7853,0.55012,1.15946,1.3037,1.7266,0.000452028,0.000452028,0.000452028
19,4085.09,0.83382,0.89905,1.30316,0.84485,0.74553,0.82354,0.57969,1.09914,1.15555,1.72318,0.000445912,0.000445912,0.000445912
20,4293.79,0.80069,0.84685,1.2735,0.77649,0.776,0.81133,0.56012,1.15842,1.15903,1.75422,0.000439796,0.000439796,0.000439796
21,4502.74,0.80284,0.83152,1.27228,0.76582,0.82693,0.81492,0.56852,1.14273,1.16921,1.74998,0.00043368,0.00043368,0.00043368
22,4710.81,0.79123,0.8231,1.26406,0.81143,0.81906,0.82376,0.57197,1.1568,1.18175,1.7512,0.000427564,0.000427564,0.000427564
23,4919.73,0.77369,0.79099,1.24506,0.79399,0.79228,0.81975,0.57487,1.16027,1.14224,1.76638,0.000421448,0.000421448,0.000421448
24,5131.23,0.75453,0.756,1.24205,0.78941,0.78187,0.81814,0.5778,1.09199,1.14114,1.74491,0.000415332,0.000415332,0.000415332
25,5342.36,0.75756,0.77824,1.24876,0.8364,0.77252,0.83017,0.60476,1.09989,1.09046,1.72868,0.000409216,0.000409216,0.000409216
26,5553.14,0.73225,0.72923,1.22308,0.82744,0.79697,0.84485,0.58238,1.19099,1.06492,1.81354,0.0004031,0.0004031,0.0004031
27,5764.93,0.72443,0.7214,1.21466,0.8334,0.80742,0.849,0.60649,1.16915,1.00821,1.75469,0.000396984,0.000396984,0.000396984
28,5982.11,0.71435,0.70353,1.21101,0.80957,0.76206,0.80508,0.57094,1.15041,1.2142,1.78918,0.000390868,0.000390868,0.000390868
29,6193.87,0.71567,0.69404,1.21002,0.83406,0.7611,0.81327,0.58494,1.12156,1.09224,1.75622,0.000384752,0.000384752,0.000384752
30,6402.5,0.69055,0.67318,1.19663,0.85933,0.7749,0.84155,0.61191,1.08462,1.05413,1.72964,0.000378636,0.000378636,0.000378636
31,6654.51,0.68627,0.64671,1.18362,0.83992,0.7606,0.81734,0.59206,1.12003,1.03382,1.74645,0.00037252,0.00037252,0.00037252
32,6867.51,0.69171,0.66754,1.1892,0.81763,0.79357,0.82793,0.59857,1.10755,1.02298,1.75507,0.000366404,0.000366404,0.000366404
33,7076.85,0.6872,0.64753,1.19361,0.74191,0.81625,0.83028,0.59547,1.15212,1.06194,1.76963,0.000360288,0.000360288,0.000360288
34,7285.88,0.6642,0.61899,1.16988,0.80419,0.79261,0.83177,0.59335,1.16274,1.0293,1.82388,0.000354172,0.000354172,0.000354172
35,7494.97,0.65842,0.61782,1.1702,0.87046,0.76612,0.8534,0.60968,1.0917,1.01062,1.77203,0.000348056,0.000348056,0.000348056
36,7705.54,0.66422,0.64504,1.17261,0.8542,0.79088,0.8426,0.59259,1.1018,0.97332,1.76088,0.00034194,0.00034194,0.00034194
37,7918.45,0.63144,0.59651,1.15023,0.83638,0.78589,0.83058,0.60509,1.08401,1.01129,1.75357,0.000335824,0.000335824,0.000335824
38,8131.36,0.62913,0.58248,1.14671,0.85708,0.79523,0.82902,0.59087,1.12526,1.09521,1.80859,0.000329708,0.000329708,0.000329708
39,8343.74,0.6303,0.59101,1.14766,0.76865,0.80611,0.82833,0.56861,1.1932,1.0336,1.87413,0.000323592,0.000323592,0.000323592
40,8555.76,0.63147,0.5769,1.15539,0.84673,0.78142,0.83258,0.57441,1.18052,1.09568,1.84851,0.000317476,0.000317476,0.000317476
41,8767.88,0.60555,0.56016,1.13162,0.84499,0.81197,0.84657,0.60715,1.11622,1.04044,1.77376,0.00031136,0.00031136,0.00031136
42,8977.19,0.61698,0.55086,1.14399,0.83132,0.78605,0.84021,0.6046,1.10199,1.01436,1.76598,0.000305244,0.000305244,0.000305244
43,9186.29,0.61013,0.56334,1.13624,0.89683,0.75851,0.84886,0.60553,1.13071,0.96661,1.84241,0.000299128,0.000299128,0.000299128
44,9396.72,0.59531,0.5368,1.1252,0.81134,0.79475,0.8323,0.60397,1.09438,0.92714,1.79466,0.000293012,0.000293012,0.000293012
45,9610.45,0.58962,0.54263,1.1239,0.83791,0.77289,0.83793,0.60195,1.12312,0.98946,1.83619,0.000286896,0.000286896,0.000286896
