epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.01,1.08793,3.50107,1.471,0.85278,0.1135,0.3259,0.24957,1.00301,3.39196,1.44919,0.0001925,0.0001925,0.0001925
2,1018.43,1.06243,2.32689,1.40863,0.65871,0.50534,0.49344,0.35025,1.09326,2.40046,1.50249,0.000375679,0.000375679,0.000375679
3,1576.39,1.06221,1.86386,1.40653,0.63036,0.53308,0.57861,0.39472,1.15208,2.24025,1.58761,0.000545923,0.000545923,0.000545923
4,1823,1.02491,1.63907,1.37281,0.78056,0.56577,0.60279,0.40708,1.1921,2.22865,1.61098,0.000529788,0.000529788,0.000529788
5,2049.05,1.02951,1.53583,1.35046,0.65649,0.64507,0.61725,0.42863,1.12825,2.06733,1.57464,0.000510384,0.000510384,0.000510384
6,2638.2,0.99732,1.41412,1.32788,0.72543,0.58245,0.62015,0.41945,1.19882,1.7626,1.62611,0.00049098,0.00049098,0.00049098
7,2886.1,0.95799,1.35161,1.3164,0.67268,0.65768,0.64286,0.44833,1.14395,1.99202,1.56967,0.000471576,0.000471576,0.000471576
8,3128.12,0.95596,1.24621,1.29151,0.68162,0.65796,0.6917,0.47873,1.02731,1.49121,1.46486,0.000452172,0.000452172,0.000452172
9,3366.75,0.89678,1.17763,1.26179,0.81681,0.63728,0.70694,0.49619,1.13169,1.47393,1.54662,0.000432768,0.000432768,0.000432768
10,3592.11,0.86704,1.1054,1.23303,0.74445,0.65117,0.67564,0.49121,1.06749,1.43362,1.5067,0.000413364,0.000413364,0.000413364
11,3836.97,0.85875,1.05347,1.22545,0.83047,0.54903,0.63612,0.44895,1.08835,1.5428,1.50237,0.00039396,0.00039396,0.00039396
12,4033.24,0.82311,1.02958,1.20463,0.74045,0.70497,0.67069,0.47471,1.03337,1.41317,1.43895,0.000374556,0.000374556,0.000374556
13,7066.33,0.80363,0.99048,1.19675,0.66324,0.69712,0.72014,0.50839,1.00363,1.39806,1.40645,0.000355152,0.000355152,0.000355152
14,7269.17,0.79753,0.95439,1.19343,0.59483,0.6831,0.66844,0.48411,1.08479,1.28595,1.51104,0.000335748,0.000335748,0.000335748
15,8641.01,0.79321,0.94322,1.19261,0.73409,0.67532,0.75248,0.51618,1.08943,1.22452,1.51543,0.000316344,0.000316344,0.000316344
16,8826.59,0.75044,0.85641,1.15394,0.67024,0.67956,0.69906,0.49691,0.98793,1.19076,1.40856,0.00029694,0.00029694,0.00029694
17,11081.9,0.74911,0.8587,1.15679,0.73003,0.65607,0.71722,0.49025,1.07687,1.21877,1.54689,0.000277536,0.000277536,0.000277536
18,11356.6,0.73493,0.82243,1.14568,0.82755,0.66934,0.70381,0.50145,1.10606,1.19691,1.55476,0.000258132,0.000258132,0.000258132
19,11569.7,0.71211,0.80951,1.12799,0.7617,0.60566,0.69835,0.51074,1.03281,1.20538,1.4603,0.000238728,0.000238728,0.000238728
20,12132.4,0.71868,0.79534,1.12422,0.7252,0.70226,0.73122,0.53087,1.03927,1.18448,1.48621,0.000219324,0.000219324,0.000219324
21,12324.3,0.5956,0.80646,1.09389,0.71474,0.73254,0.73323,0.51835,1.02623,1.11954,1.48805,0.00019992,0.00019992,0.00019992
22,12770.2,0.56564,0.73564,1.08,0.77924,0.62915,0.70514,0.50679,1.04039,1.09732,1.51558,0.000180516,0.000180516,0.000180516
23,12962.3,0.53026,0.68475,1.05835,0.72554,0.70363,0.72228,0.52061,1.05159,1.08906,1.52384,0.000161112,0.000161112,0.000161112
24,13636.9,0.50968,0.63656,1.03631,0.77827,0.63646,0.71655,0.51424,1.0452,1.11387,1.52506,0.000141708,0.000141708,0.000141708
25,13834.2,0.48487,0.61361,1.01993,0.6964,0.74951,0.72871,0.53568,0.99304,1.05859,1.48618,0.000122304,0.000122304,0.000122304
26,15537.5,0.4581,0.58664,1.00168,0.69859,0.75091,0.73731,0.51656,1.09717,1.06099,1.59625,0.0001029,0.0001029,0.0001029
27,16008.1,0.45873,0.56313,1.01289,0.72672,0.69882,0.7366,0.53773,1.00041,1.0023,1.4946,8.3496e-05,8.3496e-05,8.3496e-05
28,16193.5,0.43133,0.53201,0.98006,0.84465,0.75835,0.77411,0.5496,1.03963,0.9907,1.53245,6.4092e-05,6.4092e-05,6.4092e-05
29,19940.7,0.42452,0.53576,0.97769,0.72302,0.74407,0.76163,0.5606,1.02831,0.97385,1.5099,4.4688e-05,4.4688e-05,4.4688e-05
30,20129.5,0.40428,0.5094,0.95473,0.71438,0.74731,0.76147,0.56077,1.02607,0.96954,1.51003,2.5284e-05,2.5284e-05,2.5284e-05
